"cds_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","locus_tag","protein","protein_id"
"lcl_NZ_CP166677.1_cds_WP_463938055.1_824",18142.968247999,5.81719087924835,0.164694394453926,2.39445328905348e-274,1.3210198795708e-270,"rocD","ABFT21_RS04165","ornithine--oxo-acid transaminase","WP_463938055.1"
"lcl_NZ_CP166677.1_cds_WP_054019723.1_3046",14444.5794160763,-4.68351385979607,0.156546507333718,5.9130741639914e-198,1.63112150813703e-194,NA,"ABFT21_RS15380","sulfate adenylyltransferase subunit 1","WP_054019723.1"
"lcl_NZ_CP166677.1_cds_WP_054020862.1_4227",20443.1442572271,-5.88019841470251,0.20336198553203,8.1981718138055e-185,1.50764379655883e-181,NA,"ABFT21_RS21340","TRAP transporter small permease","WP_054020862.1"
"lcl_NZ_CP166677.1_cds_WP_054019589.1_2122",21343.997435331,-4.92363311227941,0.183019554145605,1.30440610464946e-160,1.79910211983777e-157,NA,"ABFT21_RS10710","alpha-hydroxy acid oxidase","WP_054019589.1"
"lcl_NZ_CP166677.1_cds_WP_054020480.1_114",47342.0593057868,-5.31272473873805,0.197572047952088,1.7705180710339e-160,1.9535896395788e-157,NA,"ABFT21_RS00575","hypothetical protein","WP_054020480.1"
"lcl_NZ_CP166677.1_cds_WP_082368251.1_4634",16330.3696644822,6.99575036997177,0.261706014794438,6.0151025038862e-159,5.53088675232336e-156,NA,"ABFT21_RS23385","penicillin acylase family protein","WP_082368251.1"
"lcl_NZ_CP166677.1_cds_WP_054019726.1_3042",25269.6315979325,-5.13044988900983,0.193766798379306,9.53746598980666e-156,7.51688569510905e-153,NA,"ABFT21_RS15360","nitrite/sulfite reductase","WP_054019726.1"
"lcl_NZ_CP166677.1_cds_WP_054020859.1_4224",48801.3707107069,-5.05398502451329,0.194302463619985,2.5959648328151e-150,1.79024224783012e-147,NA,"ABFT21_RS21325","hydantoinase B/oxoprolinase family protein","WP_054020859.1"
"lcl_NZ_CP166677.1_cds_WP_054019725.1_3044",5103.17845733549,-4.70361635738318,0.186909857290187,6.69713969624318e-141,4.10534663379707e-138,NA,"ABFT21_RS15370","phosphoadenylyl-sulfate reductase","WP_054019725.1"
"lcl_NZ_CP166677.1_cds_WP_054022242.1_3525",239565.106962274,5.85632022351308,0.235820336419159,2.81054253903011e-137,1.55057631878291e-134,NA,"ABFT21_RS17780","poly(ethylene terephthalate) hydrolase","WP_054022242.1"
"lcl_NZ_CP166677.1_cds_WP_054020861.1_4226",144829.547729562,-6.23641885889734,0.253452148715523,6.90113956725618e-135,3.46123518114112e-132,NA,"ABFT21_RS21335","TRAP transporter substrate-binding protein","WP_054020861.1"
"lcl_NZ_CP166677.1_cds_WP_054022212.1_2836",9713.8537547788,4.55118058976913,0.186517522525806,1.09232499270658e-132,5.02196415396849e-130,NA,"ABFT21_RS14330","MFS transporter","WP_054022212.1"
"lcl_NZ_CP166677.1_cds_WP_054020863.1_4228",55445.3966093355,-6.28548000066667,0.259142694060542,3.96835081484509e-131,1.68410703426926e-128,NA,"ABFT21_RS21345","TRAP transporter large permease","WP_054020863.1"
"lcl_NZ_CP166677.1_cds_WP_054021635.1_3853",3188.21532852399,4.98789771618058,0.209585402813654,2.24220412601624e-126,8.83588583087972e-124,NA,"ABFT21_RS19440","sigma-54-dependent Fis family transcriptional regulator","WP_054021635.1"
"lcl_NZ_CP166677.1_cds_WP_054019724.1_3045",15430.4821362548,-4.93889739953253,0.210949732744586,2.21647370132542e-122,8.15219027347489e-120,"cysD","ABFT21_RS15375","sulfate adenylyltransferase subunit CysD","WP_054019724.1"
"lcl_NZ_CP166677.1_cds_WP_054020860.1_4225",6565.22101423007,-5.32936674910017,0.232616387787865,3.05784187960938e-117,1.05438210311281e-114,NA,"ABFT21_RS21330","winged helix DNA-binding protein","WP_054020860.1"
"lcl_NZ_CP166677.1_cds_WP_054019365.1_4375",11655.6465614413,4.68808215700154,0.206359874533831,1.15410597447973e-115,3.74541333012038e-113,"ugpB","ABFT21_RS22080","sn-glycerol-3-phosphate ABC transporter substrate-binding protein UgpB","WP_054019365.1"
"lcl_NZ_CP166677.1_cds_WP_054020262.1_573",1115.09263229184,4.69126635062206,0.207146985926521,9.29293106217817e-115,2.84828337055761e-112,NA,"ABFT21_RS02885","Mpo1 family 2-hydroxy fatty acid dioxygenase","WP_054020262.1"
"lcl_NZ_CP166677.1_cds_WP_054019588.1_2121",23241.6276333899,-5.64528175021539,0.249889121129647,3.56238603717514e-114,1.03440440879449e-111,NA,"ABFT21_RS10705","L-lactate permease","WP_054019588.1"
"lcl_NZ_CP166677.1_cds_WP_054020486.1_108",19629.5527079614,6.14545120212551,0.275262054520696,5.0480311458032e-112,1.39249939156981e-109,NA,"ABFT21_RS00545","TRAP transporter substrate-binding protein","WP_054020486.1"
"lcl_NZ_CP166677.1_cds_WP_231638239.1_2835",23007.8729294049,5.27732730911746,0.237950115699525,4.01062748233272e-110,1.05364913428713e-107,NA,"ABFT21_RS14325","GreA/GreB family elongation factor","WP_231638239.1"
"lcl_NZ_CP166677.1_cds_WP_316704342.1_3523",3283.36344591796,5.54132574080201,0.250045792779134,5.45073748986775e-110,1.36689630598184e-107,NA,"ABFT21_RS17770","helix-turn-helix transcriptional regulator","WP_316704342.1"
"lcl_NZ_CP166677.1_cds_WP_231637990.1_1104",5761.65334886484,-3.83861140553606,0.175757384818352,7.55904662127319e-107,1.81318522650279e-104,NA,"ABFT21_RS05565","GNAT family N-acetyltransferase","WP_231637990.1"
"lcl_NZ_CP166677.1_cds_WP_054021441.1_4780",1773.80008535119,4.77855403331487,0.227870374223881,7.98190987382866e-99,1.83484153224636e-96,NA,"ABFT21_RS24115","feruloyl-CoA synthase","WP_054021441.1"
"lcl_NZ_CP166677.1_cds_WP_054018212.1_3229",17433.4433277811,-3.73329449910239,0.191319382166824,7.36757131386632e-86,1.62587563754402e-83,NA,"ABFT21_RS16300","efflux RND transporter permease subunit","WP_054018212.1"
"lcl_NZ_CP166677.1_cds_WP_054018478.1_925",15531.3669538501,3.72982170020488,0.191163497273871,8.50558821563188e-86,1.80482039175543e-83,"otsB","ABFT21_RS04670","trehalose-phosphatase","WP_054018478.1"
