"cds_id","gene","locus_tag","protein","protein_id"
"lcl_NZ_CP166677.1_cds_WP_054021747.1_1","dnaA","ABFT21_RS00005","chromosomal replication initiator protein DnaA","WP_054021747.1"
"lcl_NZ_CP166677.1_cds_WP_054021746.1_2","dnaN","ABFT21_RS00010","DNA polymerase III subunit beta","WP_054021746.1"
"lcl_NZ_CP166677.1_cds_WP_054021745.1_3","gyrB","ABFT21_RS00015","DNA topoisomerase (ATP-hydrolyzing) subunit B","WP_054021745.1"
"lcl_NZ_CP166677.1_cds_WP_054021744.1_4",NA,"ABFT21_RS00020","type I restriction-modification system subunit M","WP_054021744.1"
"lcl_NZ_CP166677.1_cds_WP_082368523.1_5",NA,"ABFT21_RS00025","AAA family ATPase","WP_082368523.1"
"lcl_NZ_CP166677.1_cds_WP_197284727.1_6",NA,"ABFT21_RS00030","restriction endonuclease subunit S","WP_197284727.1"
"lcl_NZ_CP166677.1_cds_WP_197284726.1_7",NA,"ABFT21_RS00035","PDDEXK nuclease domain-containing protein","WP_197284726.1"
"lcl_NZ_CP166677.1_cds_ABFT21_RS00040_8",NA,"ABFT21_RS00040","type I restriction endonuclease subunit R",NA
"lcl_NZ_CP166677.1_cds_WP_054021741.1_9",NA,"ABFT21_RS00045","hypothetical protein","WP_054021741.1"
"lcl_NZ_CP166677.1_cds_WP_054021740.1_10",NA,"ABFT21_RS00050","hypothetical protein","WP_054021740.1"
"lcl_NZ_CP166677.1_cds_WP_054021739.1_11",NA,"ABFT21_RS00055","GntR family transcriptional regulator","WP_054021739.1"
"lcl_NZ_CP166677.1_cds_WP_054021738.1_12",NA,"ABFT21_RS00060","sulfatase family protein","WP_054021738.1"
"lcl_NZ_CP166677.1_cds_WP_054021737.1_13",NA,"ABFT21_RS00065","Bug family tripartite tricarboxylate transporter substrate binding protein","WP_054021737.1"
"lcl_NZ_CP166677.1_cds_WP_054021736.1_14",NA,"ABFT21_RS00070","H-NS histone family protein","WP_054021736.1"
"lcl_NZ_CP166677.1_cds_WP_054021735.1_15",NA,"ABFT21_RS00075","hypothetical protein","WP_054021735.1"
"lcl_NZ_CP166677.1_cds_WP_082368519.1_16",NA,"ABFT21_RS00085","SEC-C metal-binding domain-containing protein","WP_082368519.1"
"lcl_NZ_CP166677.1_cds_WP_054021734.1_17",NA,"ABFT21_RS00090","RtcB family protein","WP_054021734.1"
"lcl_NZ_CP166677.1_cds_WP_054021733.1_18",NA,"ABFT21_RS00095","hypothetical protein","WP_054021733.1"
"lcl_NZ_CP166677.1_cds_WP_054021732.1_19",NA,"ABFT21_RS00100","LacI family DNA-binding transcriptional regulator","WP_054021732.1"
"lcl_NZ_CP166677.1_cds_WP_054021731.1_20",NA,"ABFT21_RS00105","ABC transporter substrate-binding protein","WP_054021731.1"
"lcl_NZ_CP166677.1_cds_WP_054021730.1_21",NA,"ABFT21_RS00110","carbohydrate ABC transporter permease","WP_054021730.1"
"lcl_NZ_CP166677.1_cds_WP_054021729.1_22",NA,"ABFT21_RS00115","carbohydrate ABC transporter permease","WP_054021729.1"
"lcl_NZ_CP166677.1_cds_WP_054021728.1_23",NA,"ABFT21_RS00120","alcohol dehydrogenase catalytic domain-containing protein","WP_054021728.1"
"lcl_NZ_CP166677.1_cds_WP_054021727.1_24",NA,"ABFT21_RS00125","ABC transporter ATP-binding protein","WP_054021727.1"
"lcl_NZ_CP166677.1_cds_WP_054021726.1_25",NA,"ABFT21_RS00130","PfkB family carbohydrate kinase","WP_054021726.1"
"lcl_NZ_CP166677.1_cds_WP_054021725.1_26",NA,"ABFT21_RS00135","tagatose 1,6-diphosphate aldolase","WP_054021725.1"
"lcl_NZ_CP166677.1_cds_WP_054021724.1_27",NA,"ABFT21_RS00140","NAD-dependent epimerase/dehydratase family protein","WP_054021724.1"
"lcl_NZ_CP166677.1_cds_WP_054021723.1_28",NA,"ABFT21_RS00145","TetR/AcrR family transcriptional regulator","WP_054021723.1"
"lcl_NZ_CP166677.1_cds_WP_054021722.1_29",NA,"ABFT21_RS00150","DUF305 domain-containing protein","WP_054021722.1"
"lcl_NZ_CP166677.1_cds_WP_054021721.1_30",NA,"ABFT21_RS00155","peroxiredoxin-like family protein","WP_054021721.1"
"lcl_NZ_CP166677.1_cds_WP_054021720.1_31",NA,"ABFT21_RS00160","hypothetical protein","WP_054021720.1"
"lcl_NZ_CP166677.1_cds_WP_054021719.1_32",NA,"ABFT21_RS00165","response regulator transcription factor","WP_054021719.1"
"lcl_NZ_CP166677.1_cds_WP_054021718.1_33",NA,"ABFT21_RS00170","sensor histidine kinase","WP_054021718.1"
"lcl_NZ_CP166677.1_cds_WP_054021780.1_34",NA,"ABFT21_RS00175","DctP family TRAP transporter solute-binding subunit","WP_054021780.1"
"lcl_NZ_CP166677.1_cds_WP_054021717.1_35",NA,"ABFT21_RS00180","tripartite tricarboxylate transporter substrate-binding protein","WP_054021717.1"
"lcl_NZ_CP166677.1_cds_WP_082368517.1_36",NA,"ABFT21_RS00185","LysR family transcriptional regulator","WP_082368517.1"
"lcl_NZ_CP166677.1_cds_WP_054021715.1_37",NA,"ABFT21_RS00190","copper chaperone PCu(A)C","WP_054021715.1"
"lcl_NZ_CP166677.1_cds_WP_157549158.1_38",NA,"ABFT21_RS00195","protease-associated domain-containing protein","WP_157549158.1"
"lcl_NZ_CP166677.1_cds_WP_157549156.1_39",NA,"ABFT21_RS00200","hypothetical protein","WP_157549156.1"
"lcl_NZ_CP166677.1_cds_WP_082368515.1_40",NA,"ABFT21_RS00205","ATP-binding protein","WP_082368515.1"
"lcl_NZ_CP166677.1_cds_WP_054021713.1_41",NA,"ABFT21_RS00210","MarR family winged helix-turn-helix transcriptional regulator","WP_054021713.1"
"lcl_NZ_CP166677.1_cds_WP_054021712.1_42",NA,"ABFT21_RS00215","tannase/feruloyl esterase family alpha/beta hydrolase","WP_054021712.1"
"lcl_NZ_CP166677.1_cds_WP_054021711.1_43",NA,"ABFT21_RS00220","hypothetical protein","WP_054021711.1"
"lcl_NZ_CP166677.1_cds_WP_054021710.1_44",NA,"ABFT21_RS00225","type II toxin-antitoxin system HicB family antitoxin","WP_054021710.1"
"lcl_NZ_CP166677.1_cds_WP_082368514.1_45",NA,"ABFT21_RS00230","LysR family transcriptional regulator","WP_082368514.1"
"lcl_NZ_CP166677.1_cds_WP_054021709.1_46",NA,"ABFT21_RS00235","cupin domain-containing protein","WP_054021709.1"
"lcl_NZ_CP166677.1_cds_WP_054021708.1_47",NA,"ABFT21_RS00240","helix-turn-helix domain-containing protein","WP_054021708.1"
"lcl_NZ_CP166677.1_cds_ABFT21_RS00245_48",NA,"ABFT21_RS00245","PIN domain-containing protein",NA
"lcl_NZ_CP166677.1_cds_WP_393939416.1_49",NA,"ABFT21_RS00250","IS3 family transposase","WP_393939416.1"
"lcl_NZ_CP166677.1_cds_WP_463938036.1_50",NA,"ABFT21_RS00255","IS1634 family transposase","WP_463938036.1"
"lcl_NZ_CP166677.1_cds_WP_463938160.1_51",NA,"ABFT21_RS00260","PIN domain-containing protein","WP_463938160.1"
